pygame 2.0.0 (SDL 2.0.12, python 3.8.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
winner is 0
         47353192 function calls (46585617 primitive calls) in 77.424 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       31    0.001    0.000    0.001    0.000 GomokuGameState.py:123(get_board)
      471    0.001    0.000    0.001    0.000 copy.py:258(_reconstruct)
      591    0.001    0.000    0.001    0.000 __init__.py:2832(__getattr__)
     1263    0.001    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      332    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      316    0.001    0.000    0.018    0.000 overrides.py:166(decorator)
      475    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
  252/245    0.001    0.000    0.166    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
      322    0.001    0.000    0.024    0.000 __init__.py:2042(<listcomp>)
      181    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     2132    0.001    0.000    0.002    0.000 version.py:82(__eq__)
     1932    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     2132    0.001    0.000    0.001    0.000 version.py:84(<lambda>)
      241    0.001    0.000    0.005    0.000 __init__.py:1487(_fn)
      616    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
     2768    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      322    0.001    0.000    0.012    0.000 __init__.py:2585(__init__)
      585    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      235    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      235    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
       20    0.001    0.000    0.250    0.013 __init__.py:610(add_entry)
     1556    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      406    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      741    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
   200/30    0.000    0.000    0.286    0.010 <frozen importlib._bootstrap>:1017(_handle_fromlist)
